Bug Id,Summary,Description,Workaround,Products,Type,Fixed In,Modified Date
299698, When do I get a 'You must call TIC before calling TOC' message?,"Before MATLAB R14sp2, there were two ways to generate this message. Starting with R14sp2, only Case 1 is possible and expected. Case 1. Using the toc  command before ANY usage of the tic  command. >> toc??? Error using ==> tocYou must call TIC before calling TOC. Case 2. Clearing the workspace between executing a tic  and toc  command. >> tic...>> clear all...>> toc??? Error using ==> tocYou must call TIC before calling TOC. To mark a starting time, the tic  command places the value for the current time in a global variable called TICTOC. The toc  command then uses the value of the TICTOC variable to compute the elapsed time. If, however, you were to clear this variable prematurely, as shown in the example for Case 2 above, toc  would not have the information it needs, thus causing MATLAB to throw an error. ","For Case 2, prior to R14sp2, do not use a clear all command between tic and toc commands.",MATLAB,Other,R14SP2,12 Jul 2006
277257, Incorrect case in class name leads to segmentation violation,"If you provide a class-name argument with incorrect case to a function that operates on classes, a later call to such a function using the correct class name can result in a segmentation violation. For example: % Wrong case for class name COM.mscal_calendarmethods com.mscal_calendarNo methods for class com.mscal_calendar or no class com.mscal_calendar.% Correct case now results in a segmentation violationmethods COM.mscal_calendar...Stack Trace:   [0] mvalue.dll:public: void __thiscall Mimplementation::init(struct mxArray_tag *)(0, 0x012d5d20, 0x07ee29f0, 0x07dc9ea0) + 8 bytes   [1] m_dispatcher.dll:public: __thiscall Mlm_opaque::Mlm_opaque(class Mdispatcher *,char const *,bool)(0x077dc050, 0x07cc86b1 ""com.mscal_calendar"", 1, 0x07ee29f0) + 238 bytes ... This problem occurs on Windows platforms. ","Always use correct case for class names. For example, if the class name is COM.mscal_calendar, do not provide a class-name argument com.mscal_calendar.",MATLAB,Other,R14SP2,19 Dec 2005
277132, SEGV in m_ir:mps_sweep_term_pools,A seg-fault occurs in m_ir:mps_sweep_term_pools on 32-bit machines that allocate memory in the upper 2GB.,"The only workaround, if you are using MATLAB version 7.0.1 (R14SP1) or earlier, is to use less than 2G of memory. To avoid this problem altogether, upgrade to MATLAB version 7.0.4 (R14SP2).",MATLAB,Other,R14SP2,06 Sep 2005
276697, Why does my color Logitech camera display black and white images?,"When I use a color camera from Logitech with the Image Acquisition Toolbox, the images displayed by the preview window or returned by getdata  are grayscale (black and white) instead of color. If I use the software supplied with the camera by Logitech, the images appear in color as expected.","This problem occurs because some of the properties of the device are initialized to values at the extreme end of their range.  These properties are normally the Brightness, Contrast, and Saturation properties.  To workaround this problem these properties must be set to different values.To set the values of these properties, you must first get a handle to the video source object, which is a child of the video input object. To do this, use the following commands:% Create the videoinput object.vid = videoinput('winvideo', 1);% Get the videosource object.src = getselectedsource(vid);After getting a handle to the video source object, you can change the values of the properties using the graphical property editor or by using the set command. To use the graphical property editor, use the inspect command:inspect(src)The following code uses the set command to set the property values. To determine the allowable range of values for the property, use the propinfo command.  For example, to modify the Saturation property, use the following commands:% Determine the range of the property.info = propinfo(src, 'Saturation');% Set the property value to the middle of the range.set(src, 'Saturation', mean(info.ContraintValue));",Image Acquisition Toolbox,Other,R14SP2,31 Aug 2005
272871, SEGV error when loading MAT-file that contains user-defined data objects,"A bug with the handling of the RTWInfo.CustomAttributes  property in user-defined data classes with custom storage classes can cause a SEGV error when data objects of the user-defined class are loaded from a MAT-file. For user-defined data classes with custom storage classes, the RTWInfo.CustomAttributes  property is modified whenever the RTWInfo.CustomStorageClass  property is changed. However, if the CustomStorageClass  property is changed to specify a custom storage class that does not have any custom attributes, the CustomAttributes  property is not cleared, as it should be. This results in a SEGV error when a data object's RTWInfo  property is accessed. ","The following installation instructions may be used to apply the patch provided in the Attachments section to your MATLAB installation to prevent this issue from occurring.Installation instructionsLog in to an account with appropriate permissions to overwrite files in your MATLAB installation. On Linux systems, this is typically the root account.Locate your MATLAB installation by typing matlabroot at the MATLAB command prompt. This folder is referred to as <MATLAB> in subsequent steps.Exit MATLAB.Download the attached .zip file associated with this Bug Report and store the file in the <MATLAB>toolbox/simulink/simulink folder.Make a backup copy of each of the files listed in the .zip file. To see the contents of the .zip file: Windows Systems*: Open the .zip file and look at the contents.Linux/Macintosh Systems: Type the following in a shell (Linux) or in a terminal window (Macintosh):unzip -l <MATLAB>/<.zip file>Extract the files from the .zip file. Windows Systems*: Open the .zip file.Extract the contents of the file to your <MATLAB>toolbox/simulink/simulink folder.Linux/Macintosh Systems: Type the following in a shell (Linux) or in a terminal window (Macintosh): cd <MATLAB>toolbox/simulink/simulinkunzip <.zip file>Delete the .zip file in the <MATLAB>toolbox/simulink/simulink folder.Refresh the toolbox path cache, for example, by issuing the command rehash toolboxcache at the MATLAB prompt.*Notes for Windows Systems:If you see ¡°Error: Access is denied¡± when attempting to extract the .zip file, you may need to start ¡°WinZip¡± in administrator mode. Do this by navigating to WinZip.exe or the WinZip Start menu entry, right-clicking on it, and selecting ¡°Run as administrator¡±.From within WinZip, find and open the downloaded .zip file.Extract the contents of the file to your <MATLAB> folder.",Embedded Coder,Other,R14SP2,09 Aug 2011
269605, Inefficiency slows building of simulation target,An inefficiency in the build process slows down the building of Accelerator simulation targets. ,,Simulink Accelerator,Other,"R14SP2 web release, R14SP3",11 Aug 2016
267263, Accelerated Simulation produces incorrect results with Signal Storage Reuse on,The Simulink Accelerator can produce wrong answers due to incorrectly generated code in which a local variable is overwritten before the variable's final use. ,"Turning off the ""Signal Storage Reuse"" optimization avoids this bug.",Simulink Accelerator,Other,"R14SP2 web release, R14SP3",11 Aug 2016
266263, Nonvirtual input ports: can cause segmentation violation during code generation,"If the following conditions exist, a segmentation violation can occur when Real-Time Workshop analyzes the model for data packing information during code generation: The model includes a nonvirtual subsystem. That subsystem has a Inport block that is connected directly to an Outport block. The model uses Simulink data objects in code generation.   ","For a system that has a direct passthrough signal between an Inport block and Output block, insert a Gain block with a gain value of 1 between the the two blocks.",Simulink Coder,Other,R14SP2,01 Sep 2005
265890, Linux KDE: MATLAB terminates or produces error messages after using Editor/Debugger or cut and paste,"On some Linux systems with KDE window managers, MATLAB terminates or produces error messages when you cut and paste into the Command Window or use the Editor/Debugger.","Disabling Klipper (the KDE clipboard tool) prevents this bug. To disable Klipper permanently, do the following:Click the Klipper icon in your system tray on the right side of the task bar (it looks like a clipboard with a gray ""K"" on it)Select Quit.When prompted ""Should Klipper start automatically when you login?"", click No.To reenable Klipper (e.g., for use with other applications), click the K menu (leftmost icon on your task bar) and select System > Desktop Applet > Klipper.",MATLAB,Other,R14SP2,09 May 2006
264464, Rician/Rayleigh channel blocks: incorrect ramp-up statistics,"Two blocks are affected by this bug: (1) the Rician Fading Channel block and (2) the Multipath Rayleigh Fading Channel block obsoleted in R14sp2.  The new Multipath Rayleigh Fading Channel block introduced in R14sp2 is not  affected.The two affected blocks are implemented using a filtered white noise source.  This filtering involves (a) a Doppler filter and (b) a cascade of interpolating filters.  A bug in the initialization of these filters causes incorrect fading statistics during the initial phase of a simulation.  The ensemble average of the square-magnitude of the fading envelope takes some number of samples to ""ramp up"" to the correct value.  The maximum error is about 10% of the correct power gain.","As a workaround for the bug in the Rician fading block, you can instead use the new Multipath Rayleigh Fading Channel block (introduced in R14sp2; see ""Fix"") in parallel with a gain block representing the direct path, and sum their outputs.  The gain of the direct path should be set to a value sqrt(K) times that of the overall gain of the Rayleigh fading channel, where K is the Rician K-factor.  You can include an additional gain at the output of the sum block to normalize the overall power gain.  For example, if the Rayleigh fading block is set to normalize the overall gain, use a gain of sqrt(K) for the direct path and a gain of 1/sqrt(K+1) at the output of the sum block.  Moreover, you can use a frequency offset block in the direct path to simulate a Doppler shift on the line-of-sight component (direct path).  Finally, note that this workaround will work reliably only for a single-path fading model because of potential implementation delays introduced by the Rayleigh fading block.See attached model showing an example of this workaround.",Communications Blockset,Other,R14SP2,09 Aug 2011
261574, Constant block: may cause TLC error when used in triggered subsystem,"If your model includes a Constant block in a triggered subsystem and you disable the Inline parameters  option on the Optimization  pane of the Configuration Parameters dialog box, Real-Time Workshop may generate the following TLC error: Error: File: D:\MATLAB704\rtw\c\tlc\lib\sysarglib.tlc Line: 197 Column: 9 Undefined identifier TriggerTID    ",Do one of the following:Set the Inline parameters on the Optimization pane of the Configuration Parameters dialog box.Delete the following lines (line 871-873) from matlab/rtw/c/tlc/mw/setuplib.tlc.%if SkipBlockFcn    %continue %endif ,Simulink Coder,Other,R14SP2 web release,11 Aug 2016
260297, Updating a model that references a model with unlabeled output ports can cause a segV,"The following segmentation violation can occur when updating or simulating a Simulink model that contains a Model Reference block and the model being referenced does not label any of the root output signals. Stack Trace:   [0] simulink.dll:struct slErrMsg_tag * __cdecl ModelrefValidateSignalLabel(struct slBlock_tag *,int,enum InputOrOutput,struct slBlock_tag *,int)(0, 1, 0x1ebd7100, 0) + 131 bytes  [1] simulink.dll:struct slErrMsg_tag * __cdecl  ModelRefCheckAndSetOutputRTWStorageClass(struct slBlock_tag *)(8, 0x00cda9c8, 0x79d93015, 0x1ebd7100) + 139 bytes   [2] simulink.dll:struct slErrMsg_tag * __cdecl  ModelRefInputOutputCheckAndSetRTWStorageClass(struct slBlock_tag *)  ",Label the root output ports of the referenced model.,Simulink,Other,R14SP2 web release,11 Aug 2016
260207, Subsystem right-click builds: can fail if a signal using custom storage class is part of virtual bus output,Subsystem right-click builds can fail if the following conditions exist: An output port of the selected subsystem block is a virtual bus  One or more signals that are part of the virtual bus have a custom storage class the resolves to a Simulink signal object  ,,Simulink Coder,Other,R14SP2 web release,11 Aug 2016
260158, Restarted job manager requires that you recreate client objects,"If you stop a job manager and start it again, or if it crashes and recovers, the existing objects in your client MATLAB session can no longer access the objects in that job manager.","To work around this issue, you must recreate the objects in the client session that reference that job manager and its jobs and tasks.  Use findResource to create the job manager object in your workspace again.",Parallel Computing Toolbox,Other,R14SP2,18 May 2005
260104, Incorrect synchronization for transitions that cross subchart boundaries,Transitions that cross subchart boundaries are duplicated in the DOORS surrogate module and are indicated as deleted in subsequent synchronizations.,,Simulink Check,Other,R14SP2 web release,08 Jun 2005
260019, Comment strings: comments generated from block property descriptions missing newline characters,"If you define two lines in the Description  field of the General  tab in a Block Property dialog box, Real-Time Workshop omits the newline character and beginning ""#"" character from the corresponding comment in the generated code for that block.",,Simulink Coder,Other,R14SP2 web release,11 Aug 2016
259965, Subsystems: an error can occur during code generation,"If you try to right-click build a Subsystem block that uses a virtual bus for an I/O port and one or more of the bus signals has a storage class other than Auto , Real-Time Workshop can fail and display the  following error messages while generating code from a subsystem:    Selected signal 'name' in 'BlockName' is not part of the bus entering   the Bus Selector   The name '' specified for the signal from output port 1 of  'BlockName' is not a valid identifier.      ",,Simulink Coder,Other,R14SP2 web release,11 Aug 2016
259712, Simulink.DataType HeaderFile property: ignored for external mode code generation,Real-Time Workshop ignores the HeaderFile property of a Simulink.DataType object for external mode code generation.  This can make it difficult to integrate legacy code.,,Simulink Coder,Other,R14SP2 web release,11 Aug 2016
259627, HeaderFile property of Simulink data type objects not honored when generating S-function wrapper for ERT target,"If you use the Create Simulink (S-Function) block  option in the Interface  pane of the Configuration Parameters dialog to automatically generate an S-function wrapper for an ERT target (for example for software-in-the-loop (SIL) code verification or simulation acceleration), Real-Time Workshop Embebbed Coder ignores the HeaderFile  property of Simulink data type objects (e.g. Simulink.AliasType  or Simulink.NumericType  objects), or Simulink.Bus  objects when generating code. ",,Embedded Coder,Other,R14SP2 web release,11 Aug 2016
