Bug Id,Summary,Description,Workaround,Products,Type,Fixed In,Modified Date
1844615," Security Issue: October 2018 security updates for R2013b 每 R2018a MATLAB, Polyspace, and MATLAB Compiler and Runtime","Important security updates are available for R2013b每R2018a.   If you are using R2018b, no action is required. This release contains cumulative security updates.   If you are using an older release,?upgrade to R2018b .   If you need to use older releases, download updates linked in the table below.  MATLAB and Polyspace  R2013b每R2018a have updates available.             Release       Products       Solution                     R2018b       All updates included       No action required                R2018a       MATLAB and Polyspace       Download R2018a Update 6                 R2017b       MATLAB and Polyspace       Download R2017b Update 9                 R2017a       MATLAB and Polyspace       Download R2017a Update 3                 R2016b       MATLAB and Polyspace       Download R2016b Update 6                 R2016a       MATLAB and Polyspace       Download R2016a Update 7                 R2015b       Polyspace       Download R2015b Update 1                 R2015a SP1       Polyspace       Download R2015a SP1 Update 3                 R2013b每R2015a       Polyspace       See Bug Report ID 1843737           For more information about these updates, see:   MATLAB Bug Report ID 1830808    Polyspace Bug Report ID 1843737   MATLAB Compiler and Runtime  Security updates are available for MATLAB apps (.mlapp) deployed using MATLAB Runtime R2016a每R2017a. To determine if updates apply to your app, including apps you have deployed to third parties, see the MATLAB Compiler Bug Report ID 1830810 .             MATLAB Runtime Release       Solution                     R2017b每R2018b       No action required                R2017a       Download the MATLAB Runtime Update                 R2016b       Download the MATLAB Runtime Update                 R2016a       Download the MATLAB Runtime Update           Ignore the Exists in  table at the end of this report. Version and product information is documented above. ",,MATLAB,Security Issue,"R2015aSP1 Update 3, R2015b Update 1, R2016a Update 7, R2016b Update 6, R2017a Update 3, R2017b Update 9, R2018a Update 6, R2018b",23 Oct 2018
1843737, Security Issue: Running Polyspace or MATLAB with Polyspace installed for R2013b 每 R2018a may allow remote code execution,"Security updates are available for R2013b每R2018a. Running MATLAB with Polyspace installed may allow remote code execution.   If you are using R2018b, no action is required. This release is not affected.   If you are using an older release,?upgrade to R2018b .   If you need to use older releases, download security updates linked in the table below.              Release       Solution                     R2018b       No action required                R2018a       Download R2018a Update 6                 R2017b       Download R2017b Update 9                 R2017a       Download R2017a Update 3                 R2016b       Download R2016b Update 6                 R2016a       Download R2016a Update 7                 R2015b       Download R2015b Update 1                 R2015a SP1       Download R2015a SP1 Update 3                 R2013b每R2015a       See the Workaround  section below          ","For R2013b每R2015a, download the attachment and follow the instructions below.Installation instructions  Log in to an account with appropriate permissions to overwrite files in your MATLAB installation. On Linux systems, this is typically the root account.  Locate your MATLAB installation by typing matlabroot at the MATLAB command prompt. This folder is referred to as <MATLAB> in subsequent steps. On Mac systems, the folder name will have a .app extension, e.g. /Applications/MATLAB_R20XXa.app  Exit MATLAB.  Download the attached .zip file associated with this Bug Report and store the file in the <MATLAB> folder.Windows Systems: You may need administrative privileges to save the .zip file in the <MATLAB> folder. To do this, open this Bug Report in a browser started in administrator mode, then from the browser save the .zip file in the <MATLAB> folder.Mac Systems: If you are using Safari on a Mac, disable automatic unzipping of the downloaded file by unchecking Open Safe Files After Downloading in Preferences > General.   For each file that appears in the .zip file, find the corresponding file in your existing <MATLAB> folder and make a backup of it. To see the contents of the .zip file:          Windows Systems: Open the .zip file and look at the contents.      Linux/Mac Systems: Type the following in a shell (Linux) or in a terminal window (Mac):        unzip -l <MATLAB>/<.zip file>On a Mac, include the .app extension in the folder name.         Extract the files from the .zip file into the <MATLAB> folder.          Windows Systems:                  Open the .zip file.          Extract the contents of the file into your <MATLAB> folder. You may be prompted to provide Administrator privileges when extracting the .zip file.                    Linux/Mac Systems: Type the following in a shell (Linux) or in a terminal window (Mac):         cd <MATLAB>        unzip <.zip file>On a Mac, include the .app extension in the folder name.        Delete the .zip file in the <MATLAB> folder.",Polyspace Bug Finder,Security Issue,"R2015aSP1 Update 3, R2015b Update 1, R2016a Update 7, R2016b Update 6, R2017a Update 3, R2017b Update 9, R2018a Update 6, R2018b",23 Oct 2018
1804775, Incorrect Code Generation: Using Discrete State-Space block with state name defined as xnew can lead to incorrect answer during code generation,"If a model has Discrete State-Space block, incorrect code is generated when all these conditions are met: State name  is xnew .?The name xnew  conflicts with the TLC keyword. Code Generation storage class  is ExportedGlobal , ImportedExtern  or any Custom storage class.  ",Change the State name.,"MATLAB Coder, Embedded Coder, Simulink Coder",Incorrect Code Generation,"R2015aSP1 Update 3, R2016b Update 7, R2018a Update 5, R2018b",19 Dec 2018
1794275, Incorrect Code Generation: Mismatch in behavior with MATLAB when using element-wise multiplication (.*)?that mixes?double and int64 or uint64 inputs,"The generated code can produce a wrong answer if your MATLAB code contains an element-wise multiplication (.*) ?that mixes double  and int64  or uint64  inputs. This issue occurs?when all of the following conditions are true:? One input is double  and the other is?either int64  or uint64.  The double  input has absolute value less than 2^-12.   This issue affects MATLAB Coder, MATLAB Function blocks and MATLAB System blocks in Simulink, and MATLAB functions in Stateflow. See also Bug Report ID 1849460  ",,MATLAB Coder,Incorrect Code Generation,"R2015aSP1 Update 3, R2016b Update 7, R2018a Update 5, R2018b",28 Dec 2018
1793805, Write to variable missing when variable is size vector argument of reshape function call within a loop,"The code generator might incorrectly omit writes to a variable when all of the following conditions occur:The variable is the size vector argument of a reshape  function call. The reshape  function call exists within a loop. There are writes to every element of the variable within the same loop  When this bug occurs, writes to the variable preceding the loop might be incorrectly missing in the generated code. For an example, see the function issue_example_1793805 below.function Y = issue_example_1793805(X,initSize,finalSize)    assert(isa(X,'double'));    assert(all(size(X) == [10,10,10]))    assert(isa(initSize,'int32'));    assert(all(size(initSize) == [1,3]));    assert(isa(finalSize,'int32'));    assert(all(size(finalSize) == [1,3]));    initSize(2) = initSize(2)*initSize(3);    initSize(3) = int32(1);    Y = zeros(numel(initSize),1);    for k = 1:numel(initSize)        if(k == 1 || k == numel(initSize))            Y(k) = locProcess(int32(reshape(X,initSize)));        end         initSize(k) = finalSize(4 - k);    endendfunction out = locProcess(in)    coder.inline('never');    out = size(in,2)*size(in,3) + size(in,1) * sum(in(:));end  The generated code for this function is as follows:void issue_example_1793805(const double X[1000], int initSize[3], const int? finalSize[3], double Y[3]){? int i;? emxArray_int32_T *b_X;? int i0;? int b_initSize[3];? int loop_ub;? double d0;? int i1;? (void)initSize;? for (i = 0; i < 3; i++) {??? Y[i] = 0.0;? }? emxInit_int32_T(&amp;b_X, 3);? for (i = 0; i < 3; i++) {  ? ?? [SNIP]   The writes corresponding to the statements 'initSize(2) = initSize(2)*initSize(3)'  and 'initSize(3) = int32(1);'? are not in the generated code. These writes are necessary for the behavior of the generated code to match MATLAB. Instead the code generator should produce this code. Note the assignments 'initSize[1] = (int)i0;' and ' initSize[2] = 1;'. void issue_example_1793805(const double X[1000], int initSize[3], const int? finalSize[3], double Y[3]){? long i0;? int i;? emxArray_int32_T *b_X;? int i1;? int loop_ub;? double d0;? int i2;? i0 = (long)initSize[1] * initSize[2];? if (i0 > 2147483647L) {??? i0 = 2147483647L;? } else {??? if (i0 < -2147483648L) {????? i0 = -2147483648L;??? }? }? initSize[1] = (int)i0;? initSize[2] = 1;? for (i = 0; i < 3; i++) {??? Y[i] = 0.0;? }? emxInit_int32_T(&amp;b_X, 3); ? for (i = 0; i < 3; i++) {  ? [SNIP]    This issue can happen for these code generation workflows:MATLAB Coder only workflow Simulink code generation of a model containing a MATLAB Function Block, Matlab System Block, or Stateflow Chart  ",,MATLAB Coder,Other,"R2015aSP1 Update 3, R2016b Update 7, R2018a Update 5, R2018b",19 Dec 2018
1791690, The simulation of Direct Lookup Table (n-D) block outputs wrong result for some 1-D tables,"The simulation?of Direct Lookup Table (n-D) block outputs wrong?results when all of these conditions are met: Table is from input port.  Table is a 1-D vector with 2-D dimension (for example, N  x 1 or 1 x N ), but is not interpreted as a 1-D vector. The index port input value is greater than the table dimension size. The Inputs select this object from table  parameter of the block is set as Element .  In R2013b and earlier releases, both simulation and code generation output wrong results?for these?conditions.? Starting in?R2014a, the code generation output is correct for these conditions, but the simulation output is wrong. ","If the table is input from a Constant block,?select the Interpret vector parameter as 1-D check box for the?Constant block.Otherwise:Insert a Reshape block, with the Output dimensionality parameter set to?1-D array,?between the Table input port (T)?of the Direct Lookup Table (n-D) block and the?block that feeds the table port T.For an example of this workaround, see the attached model.",Simulink,Other,"R2015aSP1 Update 3, R2016b Update 7, R2018a Update 5, R2018b",19 Dec 2018
1774427, Code and Simulation mismatch when Simulink Function is in an algebraic loop,"The behavior of the code generated for a model may not match the behavior of a simulation of the model?when all of following conditions are true:? The model contains a Simulink Function block An output port of the Simulink Function block is connected directly to an input port of that Simulink Function block Inside the Simulink Function, the Outport block corresponding to that Simulink Function?block output port is connected directly to an ArgIn  port  ",Place a Signal Conversion block after the ArgIn port and select the Exclude this block from 'Block reduction' optimization checkbox.,Simulink,Other,"R2015aSP1 Update 3, R2016b Update 7, R2018a Update 3, R2018b",19 Dec 2018
1773232," Incorrect Code Generation: Incorrect variable reuse when a Unit Delay block connects to a Constant block inside an enabled, triggered, or function-call subsystem","When a Unit Delay block is inside a triggered, function-call, or enabled subsystem, the state variable of the Unit Delay block?may be incorrectly reused?if all of the following conditions are true: O ptimize global data access ?configuration parameter is set to?Use global to hold temporary results ?or?Minimize global data access . R euse local block outputs ?configuration parameter is enabled. The Unit Delay input signal also connects to a subsystem outport block, which has null initial conditions. The Unit Delay input signal is driven by a Constant or Initial Condition block. The initial conditions of the Unit Delay and driving block do not match.  ","See the workaround in?Bug Report ID 1668727. That report describes a different but related issue, and the same workaround applies.",Embedded Coder,Incorrect Code Generation,"R2015aSP1 Update 3, R2015b",08 Oct 2018
1773229, Incorrect Code Generation: Reusable?custom storage class?specification at the input of a Unit Delay block can lead to incorrect code,"In code, the state of a Unit Delay block may be incorrectly reused with a reusable custom storage class variable if all of the following are true: Optimize global data access ?configuration parameter is set to Use global to hold temporary results or Minimize global data access   . Reuse local block outputs ?configuration parameter is enabled. The input to?a Unit Delay block has a reusable?custom storage class?specification. That input signal is also connected to a root output port. The?same reusable?custom storage class?specification is at the root input port.  For the attached example, the incorrect code generation pattern is as follows: ?abc = abc + abc;  Here, abc  is a variable corresponding to reusable custom storage class signal specification. In this example, the state variable got incorrectly merged into abc . ","To workaround around the issue, do either of the following:See the workaround in?Bug Report ID 1668727. That report describes a different but related issue, and the same workaround applies.Remove the?reusable custom storage class?specification from the input of the Unit Delay block.",Embedded Coder,Incorrect Code Generation,"R2015aSP1 Update 3, R2015b",08 Oct 2018
1772936, Incorrect Code Generation: Simulink Function blocks?that specify shared input/output argument might reuse wrong input in generated code,"If a Simulink Function block with input/output reuse has any another input with the same datatype, complexity, and size as the reused input, the generated code might call the?function?with incorrect arguments. Specifically, the generated code might reuse the wrong variable at the Function Caller block?and produce a wrong answer. This occurs even if the other inputs are also specified to reuse with another output. In the below example, the?Simulink Function?f  has a 2 inputs u ?and x , and two outputs y ?and x .? The input/output?have the same?name, so?a single argument?is used in the function for the input/output pair. The generated code for the function definition looks similar to the following code: /* Output and update for Simulink Function: '<Root>/Simulink Function' */  void f(real_T rtu_u, real_T *rty_y, real_T *rtuy_x)  {  ? ...  ?The problem occurs at the function call site.? Here is an example of incorrect code: ? ...  ? /* FunctionCaller: '<Root>/Function Caller' */  ? rtb_inoutarg = rtb_input2;  ? f(rtb_input2, &amp;rtb_output1, &amp;rtb_inoutarg);  ? ... ? The first statement occurs because Simulink cannot reuse the same variable on the shared input/output -- a copy of the input is introduced.? The problem is that the two copies of input x  are passed to the Simulink function as inputs x  and u . ?The correct code uses a different variable for input u  and appears as follows: ? ...  ? /* FunctionCaller: '<Root>/Function Caller'? */  ??rtb_inoutarg?=?rtb_input2;  ? f(rtb_input1, &amp;rtb_output1, &amp;rtb_inoutarg);  ? ...   ",,Embedded Coder,Incorrect Code Generation,"R2015aSP1 Update 3, R2016b Update 6, R2018a Update 2, R2018b",04 Dec 2018
