Bug Id,Summary,Description,Workaround,Products,Type,Fixed In,Modified Date
2499459," Incorrect Code Generation: Incorrect results are possible for a model containing Data Store Memory, Selector, and Assignment blocks","The generated code might be incorrect for a model that meets the following conditions: The model contains a Data Store Memory block, a Selector block, and an Assignment block. A Data Store Read block is connected to the index port of the Selector block. The same Data Store Read block is connected to the index port of the Assignment block. The output of the Selector block is connected to the data port (U ) of the Assignment block.  ",,Embedded Coder,Incorrect Code Generation,"R2019a Update 9, R2020a, R2020b, R2021a, R2021b",22 Sep 2021
2380126, ImportOptions setvaropts function errors with string array inputs,"opts = detectImportOptions(filename);  opts = setvaropts(opts,[""Var1"",""Var2""],""TreatAsMissing"",""NA"");  Will error with ""Operands to the || and &amp;&amp; operators must be convertible to logical scalar values.""  ","Use numeric inputs, or cell arrays of character vectors for setting multiple variables.opts = detectImportOptions(filename);opts = setvaropts(opts,cellstr([""Var1"",""Var2""]),""TreatAsMissing"",""NA"");?or?opts = setvaropts(opts,[1 2],""TreatAsMissing"",""NA"");?",MATLAB,Other,R2019a,30 Nov 2020
2338501, Creating an anonymous function might result in a memory leak,"When the handle to an anonymous function is no longer in use, MATLAB might not free up all the memory allocated to the function handle.",,MATLAB,Other,"R2018b Update 8, R2019a",11 Feb 2021
2314141, Incorrect documentation for configuration parameter?Use algorithms optimized for row-major array layout?(UseRowMajorAlgorithm),"The documentation for configuration parameter?Use algorithms optimized for row-major array layout ?(UseRowMajorAlgorithm ) contains this incorrect statement: ""You can enable the Use algorithms optimized for row-major array layout  configuration parameter to enable efficient algorithms, which might result in numeric differences between simulation and generated code."" ",Refer the updated documentation link -?https://www.mathworks.com/help/simulink/gui/use-algorithms-optimized-for-row-major-array-layout.html,Simulink Coder,Other,"R2019a Update 9, R2019b Update 6, R2020a",18 Sep 2020
2312936, Stateflow charts that perform floating point operations might assert during HDL code generation in Native Floating Point mode,HDL code generation for a Stateflow chart might generate an assertion when the following conditions are met: MATLAB  is set as the Action Language  in the Chart Properties dialog box The chart contains floating point operations The Floating Point IP Library  in the HDL Code Generation > Floating Point  pane of the Configuration Parameters dialog box is set to Native Floating Point??   The assertion looks like the following:In cast: Assertion failed: isa(aValue)   [? 0] ../matlab/bin/glnxa64/builtins/sl_main/../../../../bin/glnxa64/libmwcg_ir.so+13427972 _ZN2CG11DoubleValue4castEPKNS_5ValueE+00000086 [? 1] ../matlab/bin/glnxa64/simulink_plugins/sl_pir_cpp/../../../../bin/glnxa64/libmwcgir_hdl.so+25912710  [? 2] ../matlab/bin/glnxa64/simulink_plugins/sl_pir_cpp/../../../../bin/glnxa64/libmwcgir_hdl.so+25919655  [? 3] ../matlab/bin/glnxa64/simulink_plugins/sl_pir_cpp/../../../../bin/glnxa64/libmwcgir_hdl.so+25921796  [? 4] ../matlab/bin/glnxa64/simulink_plugins/sl_pir_cpp/../../../../bin/glnxa64/libmwcgir_hdl.so+20326342  [? 5] ../matlab/bin/glnxa64/simulink_plugins/sl_pir_cpp/../../../../bin/glnxa64/libmwcgir_hdl.so+20590166?  ,,HDL Coder,Other,"R2019a Update 9, R2019b Update 7, R2020b Update 1, R2021a",10 Mar 2021
2305513, The Capacity vector and Head vector?parameters?in the Centrifugal Pump (TL) block cannot be set to Run-time,"In the Centrifugal Pump (TL) block, the?Capacity vector ?and?Head vector? parameters?do not currently support run-time capabilities. However, the block dialog incorrectly provides the option to choose between the?Compile-time ?or?Run-time ?settings. Selecting?Run-time ?and simulating the model results in a compilation error: Function 'fluids_functions. polynomial_fit' must be an unprotected MATLAB function. ?In fluids. thermal_liquid. pumps_motors. centrifugal_pump ",,Simscape Fluids,Other,"R2018b Update 8, R2019a Update 9, R2019b Update 7, R2020a Update 6, R2020b Update 1, R2021a",10 Mar 2021
2305118, Compilation error when Dynamic compressibility is set to Off?for heat exchanger sample variants in the?thermal liquid domain,"This issue occurs if Dynamic compressibility ?is set to Off  in: Heat Exchanger (TL), Simple Variant Heat Exchanger (TL-TL), Simple Variant Heat Exchanger (TL-G), Simple Variant? Simple Heat Exchanger Interface (TL)  In such situations, simulating the model generates this error message: Number of equations exceeds number of variables .? ",Set Dynamic compressibility?to On.,Simscape Fluids,Other,"R2019a Update 9, R2019b Update 7, R2020a Update 6, R2020b Update 1, R2021a",10 Mar 2021
2302723," Assertion thrown during HDL code generation from a Simulink model containing Gain blocks that are operating in ""u*K"" mode","When performing HDL code generation from a Simulink model containing a Gain block, we throw the following assertion if the gain mode is ""u*K"", the input vector is unordered and the gain factor is a square matrix: Error: Evaluation of elaborate function on class hdldefaults. Gain failed with the error message: pir_core:pirudd:assertionFailed: Assertion failed: dom_pir_udd/ paramset. cpp:65:orientation. size() == 1 ? ",,HDL Coder,Other,"R2019a Update 9, R2019b Update 7, R2021a",10 Mar 2021
2299729, Error when creating link with IBM DOORS Next (DNG),"When you create a link from an item in MATLAB or Simulink to an item in IBM DOORS Next (formerly known as IBM DOORS Next Generation, and often abbreviated as DNG), a dialog box might appear with an error that says ""Failed to parse ProjectID "". This error might occur if the IBM DOORS Next service is hosted on Jazz server 6.0.6.1 or later version. As a result of this error, you cannot create links between items in MATLAB or Simulink and items in IBM DOORS Next. ",,Requirements Toolbox,Other,"R2019a Update 9, R2019b Update 6, R2020a Update 5, R2020b",18 Sep 2020
2296077," If you set the Vehicle Body 3DOF Dual Track block Axle force?parameter to?External forces, the block incorrectly implements the lateral force signal input to the front right tire","If you set the Vehicle Body 3DOF Dual Track block?Axle force? parameter to?External forces , the block incorrectly implements the signal array connected to the input port?FwF . Specifically, the block does not correctly use the array element for lateral force on the right front tire. The issue does not affect the Vehicle Body 3DOF Single Track block.?  ",,Vehicle Dynamics Blockset,Other,"R2018b Update 8, R2019a Update 9, R2019b Update 7, R2020a Update 5, R2020b, R2021a",10 Mar 2021
2289718, Simulink Design Verifier might fail to complete normally when performing Out of bound array access detection on models containing matrix-typed data with an InitialValue,"Simulink Design Verifier might fail to complete normally when all of the following conditions are true: Design Error Detection is performed with?Out of bound array access   enabled A data object of matrix type has a non-empty InitialValue   specification (such as through the Model Workspace).  In some cases, analysis might fail with an ""Error detection produced errors"" message. In all cases, the return status of sldvrun will be 0 when this issue is applicable. ",,Simulink Design Verifier,Other,"R2019a Update 9, R2019b Update 7, R2020a Update 6, R2020b",23 Dec 2020
