Bug Id,Summary,Description,Workaround,Products,Type,Fixed In,Modified Date
2989922, Incorrect Code Generation: Reusable subsystem?block that generates a hidden buffer might result in incorrect code,The code generator might generate an incorrect conversion operation when all ?of the following are true: The model contains a reusable subsystem that is connected to a Data Type Conversion block The Buffer for reusable subsystem ?model configuration parameter is selected? The Data Type Conversion block has the Input and output to have equal ?parameter set to Stored Integer (SI)  The input and output of the Data Type Conversion block have different types   ,,Embedded Coder,Incorrect Code Generation,R2019b,12 Oct 2023
2750946, Simulink Report Generator expected results in the DO Qualification Kit do not match generated reports,"Baseline qualification reports for Simulink Report Generator that ship with the DO Qualification Kit do not reflect changes made to the Simulink Report Generator.? Starting in R2019a, the Simulink Report Generator System Design Description report does not include sections for empty subsystems.? As such, you should manually review the differences between baseline reports and generated reports.? ",,DO Qualification Kit,Other,"R2019b, R2020a",03 Nov 2022
2545527, Incorrect merged results when using three-way merge for Stateflow charts,"Three-way merge of Simulink models containing Stateflow charts creates incorrect merged charts for various chart objects. Incorrect merged result occurs when you perform these actions: Add, delete, or change properties of Stateflow data, event, or message objects.? Add or delete states, transitions, junctions under a box or a graphical function. Change junction positions. Add super-transitions crossing sub-chart boundaries.? Add or delete default and dangling transitions.?  ",,Simulink,Other,"R2019b Update 9, R2020a Update 8, R2020b Update 7, R2021a Update 6, R2021b, R2022a",19 Oct 2023
2545253, Vehicle Body 3DOF Longitudinal block has incorrect planar response for non-zero relative front and rear pitch angles,"The Vehicle Body 3DOF Longitudinal block incorrectlyapplies the suspension forces, resulting in incorrect planar response for non-zero relative pitch angles. Specifically, theblock uses the wrong sign for the internal longitudinal component of the front and rear axle forces. If you select?External forces , the issue does not apply.? ",Reroute these Info bus output port longitudinal suspension force signals:?BdyFrm.Forces.FrntAxl.FxBdyFrm.Forces.RearAxl.Fx?1. Subtract them.2. Multiply them by 2.?3. Input them to Fext input port.?See the attached example model (R2019a) and image.?,Powertrain Blockset,Other,"R2019b Update 9, R2020b Update 8, R2021a Update 5, R2021b, R2022a",19 Oct 2023
2528481, MATLAB crashes when executing Model Advisor check for?AUTOSAR model with message outport,"MATLAB crashes when you run the Model Advisor check ""Check for bitwise operations on signed integers"" on an AUTOSAR model where both of the following conditions are true: The model contains a Stateflow chart that sends messages. The Stateflow chart sends messages to a root outport that has QueuedExplicitSend ?data access mode.  ",,Embedded Coder,Other,R2019b,01 Jul 2021
2527763, Data Type Propagation block does not support symbolic dimensions,A Simulink model with Data Type Propagation  block?containing symbolic dimensions returns this error message:Modelname/Data Type Propagation does not support symbolic dimensions propagation.  ,,Embedded Coder,Other,"R2019b Update 9, R2020a Update 7, R2020b Update 6, R2021a Update 5, R2021b",06 Apr 2022
2516847, Incorrect Code Generation: Simulink might use an outdated enum definition when simulating or generating code for a referenced model,Simulink might use the previous definition of a dynamic enumerated data type when all of the following conditions are true: The enumerated type is defined by using the?Simulink.defineIntEnumType ?function. The model hierarchy contains at least one referenced model. The Rebuild ?configuration parameter of the top model is set to If any changes in known dependencies detected . The enumerated type definition has changed since the model reference simulation or code generation target was last built.  ,Set the Rebuild configuration parameter of the top model to If any changes detected.,Simulink,Incorrect Code Generation,"R2019b Update 9, R2020a Update 8, R2020b Update 7, R2021a Update 6, R2021b",17 Feb 2022
2512200, Simulink Design Verifier incorrectly reports decision objective for the last input index?of a Multiport switch block as Unsatisfiable.,"If a Simulink model contains a Multiport switch  block with following configuration:Number of data ports  set to 1 The data port is connected to the output of a?Mux ?block  then, Simulink Design Verifier always reports decision objective associated with the last input index?as Unsatisfiable  during the test generation analysis, even if it ?can potentially be covered by a simulation. Similarly, during dead logic analysis Simulink Design Verifier always reports this objective as Dead Logic . ",,Simulink Design Verifier,Other,"R2019b Update 9, R2020a Update 8, R2020b Update 7, R2021a Update 6, R2021b",17 Feb 2022
2499039, MATLAB might crash for models with an AUTOSAR mapping,"For models with an AUTOSAR mapping, MATLAB might crash during model load, while updating the diagram, or during code generation due to corrupt code mappings.",,Simulink Coder,Other,"R2019b Update 9, R2022a",06 Feb 2024
2498858, Incorrect Code Generation: Simulink model containing a Demux block connected to a Stateflow chart might generate incorrect code,Simulink model containing a Demux block connected to a Stateflow chart might generate incorrect code as shown below: RootModel_P.ConstantValue[-127]  This issue is caused due to integer overflow in the matrix index. ,,Embedded Coder,Incorrect Code Generation,"R2019b Update 9, R2020a Update 7, R2020b Update 6, R2021a Update 5, R2021b",22 Sep 2021
2484510, Incorrect Code Generation: Parameters are evaluated incorrectly when starting with double literal followed by more than approximately 4100 whitespace characters followed by additional operations,"When setting a block parameter to a value consisting of a double literal followed by more than approximately 4100 characters of whitespace (depending on the length of the double literal) followed by subsequent operations, the block ignores the subsequent operations.? This issue applies to any block numerical parameter. ","Ensure that the first 4096 characters of a block parameter include code in addition to the double literal and whitespace. ?For example, either of the following produces correct results:>> set_param(gcb, 'Value', ['0 + 1.5' repmat(' ', 1, 5000) '+ 7'])>> set_param(gcb, 'Value', ['1.5 + 0' repmat(' ', 1, 5000) '+ 7'])??",Simulink,Incorrect Code Generation,"R2019b Update 9, R2020a Update 7, R2020b Update 6, R2021a Update 3, R2021b",22 Sep 2021
2483880, Generating coverage report takes very long time,"It takes a very long time to generate a coverage report, especially when attempting to generate one report for multiple cvdata  objects, such as in this example: cvhtml('covReport', cvdata1, cvdata2, cvdata3, cvdata4);?   ","To generate a report showing the total cumulative coverage result accumulated from multiple simulations, do not pass multiple cvdata as input arguments to cvhtml command. Instead, sum the cvdata objects from each individual simulation together and then, pass this cumulative result as an? input argument to cvhtml.?cvdataSum = cvdata1 + cvdata2 + cvdata3 + cvdata4;cvhtml('covReport_Cumulative', cvdataSum);?","Simulink Check, Requirements Toolbox, Simulink Coverage",Other,"R2019b Update 9, R2020a Update 7, R2020b Update 6, R2021a Update 3, R2021b",22 Sep 2021
2483709, Simulink Design Verifier analysis on a subsystem fails if model parameter SolverPrmCheckMsg is disabled,If SolverPrmCheckMsg  model parameter is disabled then Simulink Design Verifier analysis on any subsystem inside that model fails with the following error message: Changing property 'SolverPrmCheckMsg' is not allowed .,This issue can be avoided by using either of the following two workarounds:Ensure that the?SolverPrmCheckMsg model parameter is enabled.Generate subsystem harness using Simulink Test and invoke Simulink Design Verifier analysis on that harness model.,Simulink Design Verifier,Other,"R2019b Update 9, R2020a Update 8, R2020b Update 7, R2021a Update 6, R2021b",17 Feb 2022
2481749, Incorrect Code Generation: Incorrect results are possible for a model with local block outputs enabled and a Zero-Order Hold block with multiple rates inside a For Each subsystem,Incorrect generated code is possible for a model that meets all of the following conditions: The? Enable local block outputs  model?configuration parameter is selected. A Zero-Order Hold block is inside a For Each subsystem  The Zero-Order Hold block's input and output ports have different sample times. The Treat each discrete rate as a separate task  model?configuration parameter is selected.  ,Insert a Signal Copy block with the Exclude this block from Block Reduction optimization?parameter selected between the Zero-Order Hold block and the For Each subsystem output.,Embedded Coder,Incorrect Code Generation,"R2019b Update 9, R2020a Update 7, R2020b Update 6, R2021a Update 3, R2021b",17 Oct 2023
2478983, PLC Coder could generate incorrectly typed matrix address expressions,PLC Coder may generate code that has incorrect matrix address expressions when such addresses are not constants. This may lead to errors while compiling the code in the target IDE. ,,Simulink PLC Coder,Other,"R2019b Update 9, R2020a Update 7, R2020b Update 6, R2021a Update 5, R2021b",17 Oct 2023
2478537, MATLAB might crash when building a model with the parameter?RollThreshold higher than the number of iterations of a For Each?Subsystem nested in a For Iterator?Subsystem,"Consider a model that has a For Each?Subsystem nested within a For Iterator?Subsystem. If the number of iterations of the nested For Each?Subsystem  is less than the RollThreshold  configuration setting of the model, then building such a model might result in a crash.? Note that not all models that meet the above conditions will result in a crash. The possibility of a crash is subject to the modeling semantics of the nested For Each?S ubsystem. ","Set the RollThreshold to a value less than or equal to the number of iterations of the nested For Each?Subsystem.For example, if the For Each?Subsystem is supposed to execute 4 times, then? set the RollThreshold to a value less than or equal to 4.",Embedded Coder,Other,"R2019b Update 9, R2020a Update 7, R2020b Update 6, R2021a",27 Jul 2023
2478260, Incorrect Code Generation: Simulink might log wrong answer at root output port with automatic unit conversion,Simulink automatic unit conversion might log the wrong answer at a root output port during simulation when all of the following are true: The logging SaveFormat  is set to Dataset .  The signal before the root output port is branched.  The root output port unit does not match the source signal unit and the units are convertible.  Simulink automatically converts units at the root output port.  At least one of the other branches has a different unit from this root output port.   ,Manually insert a Unit Conversion block at the root output port instead of relying on automatic unit conversion.,Simulink,Incorrect Code Generation,"R2019b Update 9, R2020a Update 7, R2020b Update 6, R2021a Update 3, R2021b",22 Sep 2021
